video_id,video_path,video_url,segment_path,transcript_path,segment_duration,transcript,num_words
-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE,https://www.youtube.com/watch?v=-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\segments\segment_03.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\transcripts\segment_03.txt,19.639999999999986,"Also, wenn ihr Themenvorschläge für nächste Videos habt, schreibt sie gerne in die Kommentare. Schaut bei unseren funk-Kollegen von ""DIE DA OBEN!"" vorbei, da kriegt ihr aktuell sehr gute Einordnungen zur deutschen Ukraine-Politik, wie das hier zum Beispiel. Und wir sehen uns bald. Und bis bald mein ich ... früher oder später. Bis dahin: Bleibt sicher.",57
-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE,https://www.youtube.com/watch?v=-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\segments\segment_11.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\transcripts\segment_11.txt,19.400000000000006,"zum Beispiel in Form von grünem Wasserstoff. Millionentonnenweise. Wer da 'ne Wüste und all-you-can-Solarstrom vor der Tür hat, ist klar im Vorteil. Deswegen baut etwa Saudi-Arabien seine Wasserstoffproduktion aus. Wind und Sonne machen uns unabhängiger ... aber wenn wir in Zukunft immer noch auf Importe angewiesen sind,",50
-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE,https://www.youtube.com/watch?v=-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\segments\segment_12.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\transcripts\segment_12.txt,20.480000000000018,"Ich will damit nur sagen: Selbst in einer Zukunft mit 100 Prozent erneuerbaren Energien wird es immer noch globale Abhängigkeiten geben. Und dafür ist jetzt auch die Zeit, die richtigen strategischen Weichen zu stellen. Heißt unterm Strich: Go Energiewende! ""Energie!"" (Triumphale Musik) Für alle, die jetzt immer noch da sind, vielen Dank für euer Interesse.",55
-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE,https://www.youtube.com/watch?v=-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\segments\segment_13.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\transcripts\segment_13.txt,20.920000000000016,"Da Verbrennungen, chemisch gesehen, nichts anderes sind als die Reaktion mit Sauerstoff, entsteht dadurch H2 plus O2 gleich H2O, Wasser als Abgas. So viel jetzt erst mal an dieser Stelle in aller Kürze und Unvollständigkeit. Ihr seht, es gibt viele Lösungsansätze. Das ist auch gut so. Denn wir werden viele brauchen. Es gibt nicht die eine Master-Lösung.",58
-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE,https://www.youtube.com/watch?v=-NMs56pQ9EE,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\segments\segment_14.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-NMs56pQ9EE\transcripts\segment_14.txt,19.200000000000045,"tagsüber bei Sonnenschein direkt lade, weil ich so einen Umwandlungsschritt spare. Das heißt, wie viel Energie ich aus einem Windstoß oder einem Sonnenstrahl rausbekomme, hängt nicht nur davon ab, wie gut unsre Ingenieure die Wirkungsgrade optimieren, sondern auch, wie direkt oder indirekt diese Energie genutzt wird. Je direkter, desto effizienter.",50
-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0,https://www.youtube.com/watch?v=-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\segments\segment_02.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\transcripts\segment_02.txt,20.49000000000001,"Wir wollen hier kein Streit zwischen den Generationen befeuern, und sind uns auch bewusst, dass Rentnerinnen und Rentner oft auch nicht im Geld schwimmen. Trotzdem wollten wir von den Verantwortlichen wissen, ob sie da nicht ein bisschen ne Schieflage bei der Belastung sehen. Dazu haben wir die beiden verantwortlichen Ministerien, das Arbeitsministerium und das Finanzministerium und zusätzlich noch die Ampelparteien angeschrieben.",61
-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0,https://www.youtube.com/watch?v=-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\segments\segment_05.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\transcripts\segment_05.txt,20.069999999999993,"Auch da könnte man theoretisch kürzen. Bis 2025 ist aktuell, aber gesetzlich geregelt, dass das Niveau nicht unter 48% sinken darf. Dann hat man noch die dritte Option: Wir könnten alle mehr Geld in die Rente buttern. Also den Rentenbeitragssatz erhöhen. Dann blecht jeder mehr, der gerade arbeitet und in die Rentenkasse einzahlt. Den Betrag teilt ihr euch mit eurem Arbeitgeber. Beide zahlen genau die Hälfte.",66
-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0,https://www.youtube.com/watch?v=-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\segments\segment_06.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\transcripts\segment_06.txt,20.819000000000017,"und drei Prozent liegen. Aber durch das Investment erwartet man pro Jahr eine Rendite von 5 bis 7 Prozent. Die Differenz daraus ist dann der Gewinn. Der soll dann in die Rente fließen. Aber Moment mal, Aktienkurse steigen ja nicht immer nur nach oben. Manchmal fallen sie auch. Ist das nicht mega riskant? Wenn man zu einem bestimmten Zeitpunkt auf den Betrag zugreifen will, dann kann es passieren,",68
-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0,https://www.youtube.com/watch?v=-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\segments\segment_12.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\transcripts\segment_12.txt,19.00999999999999,"Gleichzeitig kommen lange nicht so viele junge Menschen nach, wie es alte Menschen gibt. Deshalb kann so ein System auf Dauer nicht einfach weiterlaufen, sondern muss angepasst werden. Ihr fragt euch jetzt bestimmt: Aber was könnte man ändern, damit die Rente stabil bleibt? Das sag ich jetzt! Option 1: Man könnte das Renteneintrittsalter erhöhen, also das Alter, mit dem man einen vollen Anspruch auf Rente hat.",66
-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0,https://www.youtube.com/watch?v=-zw8FgLQhi0,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\segments\segment_13.mp3,F:/BIG_FILES/AI_DATA/2024_STT\-zw8FgLQhi0\transcripts\segment_13.txt,20.771000000000072,"Mit dem Generationenkapital werde ein Beitrag geleistet, um die Finanzierung der gesetzlichen Rente nachhaltiger zu gestalten. Denn mit kapitalgedeckten Elementen werde diese unabhängiger vom demografischen Wandel und so zukunftsfester und generationengerechter. Wir haben die FPD noch einmal direkt angefragt. Die Antwort klang noch deutlich weniger happy mit dem aktuellen Rentenpaket.",50
